,0
0,keyword
1,aal
2,abandoned
3,abe
4,abia
5,absurd
6,accident
7,acquiesce
8,acrylic
9,action
10,adam
11,adip
12,afloat
13,aftershock
14,ag
15,agency
16,agreed
17,agw
18,ahnsxn
19,aid
20,airplane
21,airport
22,aisumage
23,aitchkaycee
24,alabama
25,alberta
26,alexandrian
27,alil
28,allegedly
29,allen
30,alley
31,alloosh
32,allotment
33,alsowhat
34,aluminum
35,amen
36,american
37,amesocialaction
38,amginsys
39,amid
40,anarchy
41,anchorage
42,ancient
43,angela
44,another
45,anthrax
46,antioch
47,anytime
48,aod
49,ap
50,appalling
51,apply
52,apt
53,apwxs
54,aq
55,aquarium
56,area
57,arfur
58,arianagrande
59,ariz
60,armageddon
61,armed
62,arnhem
63,arovolturi
64,arrested
65,arrestpastornganga
66,art
67,as
68,ashayo
69,askin
70,asktwxfl
71,assumes
72,asylum
73,attack
74,attempted
75,attila
76,atåêcinema
77,aubrey
78,autistic
79,av
80,aware
81,awareness
82,ayyy
83,backtoback
84,badass
85,badchoices
86,bag
87,bangladesh
88,banking
89,bartender
90,baseball
91,basic
92,bask
93,bathe
94,be
95,bebacksoon
96,beclearoncancer
97,beelievedc
98,beep
99,behavior
100,bekrpjnyhs
101,belter
102,beluga
103,benkin
104,bethlehem
105,beyhive
106,bf
107,bftou
108,bicyclist
109,bilsen
110,bilsko
111,bin
112,bioterror
113,bioterrorism
114,bitcoing
115,bivle
116,biz
117,biztip
118,bkb
119,blackpool
120,blakeshelton
121,blame
122,blazing
123,bleeding
124,blew
125,blight
126,blockage
127,blockchain
128,blowing
129,blown
130,bluebirddenver
131,blutz
132,bnwygx
133,boasting
134,boat
135,body
136,bolasie
137,bolster
138,bomb
139,bomber
140,bombing
141,bona
142,book
143,bornverified
144,boulder
145,bounced
146,bound
147,boyinahorsemask
148,bpm
149,breakfastone
150,brianboru
151,bridge
152,brightening
153,british
154,brittanypetko
155,broadcasting
156,brobread
157,brooklyn
158,browser
159,brush
160,btwn
161,bubblycuteone
162,bucharest
163,building
164,bulletproof
165,bundy
166,bus
167,buscemi
168,busines
169,businessmen
170,buted
171,butgod
172,button
173,bwm
174,bxzzhxkm
175,byuwnbeki
176,byvubg
177,bzkqpl
178,cable
179,cafetiere
180,cake
181,calestous
182,calfee
183,calgary
184,calif
185,california
186,calwildfires
187,cameroon
188,canada
189,canadian
190,canagal
191,canyon
192,car
193,career
194,carrying
195,case
196,casting
197,casualty
198,cat
199,catastrophic
200,catch
201,catholicism
202,caused
203,cbs
204,cecanf
205,ceeuzwhvf
206,central
207,cgg
208,chaos
209,charged
210,chargedup
211,charstevens
212,chattanooga
213,chawalchorbjp
214,check
215,chelsdelong
216,chelsea
217,cherry
218,chibi
219,childish
220,chim
221,choppas
222,cihc
223,cinema
224,city
225,civilian
226,cjctb
227,cjoyner
228,cleaning
229,cleared
230,close
231,closed
232,closest
233,closure
234,cluei
235,cm
236,cnn
237,coach
238,coast
239,colinhoffman
240,collapse
241,collide
242,collided
243,collision
244,combat
245,comdev
246,command
247,commenters
248,committed
249,complete
250,comuiok
251,comus
252,condemnation
253,considering
254,content
255,continually
256,continues
257,control
258,cook
259,corpse
260,correspondent
261,cosponsor
262,couch
263,country
264,county
265,course
266,coyi
267,crash
268,cream
269,credential
270,crew
271,crime
272,crisis
273,crockery
274,crptotech
275,crushed
276,cssr
277,cub
278,cunayyh
279,curb
280,curfew
281,currensy
282,cut
283,cwd
284,cyclone
285,cyhitheprynce
286,cymg
287,czpdn
288,dagestan
289,dagger
290,damage
291,damascus
292,dance
293,darkness
294,daviesmutia
295,davison
296,dead
297,deadliest
298,dealing
299,death
300,debris
301,dec
302,deccgovuk
303,declared
304,decor
305,defend
306,definite
307,dehydration
308,dem
309,demolishes
310,demonization
311,demonstrated
312,denim
313,deputy
314,derailed
315,derailment
316,desert
317,detonate
318,developed
319,devi
320,deviating
321,devours
322,devybnvxgq
323,dfljev
324,dglb
325,dh
326,dhggxo
327,dhsscitech
328,dhwz
329,dice
330,died
331,difficult
332,diggin
333,digging
334,dirk
335,disaster
336,disney
337,disneyirh
338,disneyland
339,displaced
340,display
341,diver
342,diving
343,diyala
344,djllxozp
345,dkpoonp
346,dlc
347,dlizfkk
348,dmassa
349,dmdxzvb
350,dock
351,donate
352,dont
353,door
354,dose
355,dothraki
356,dougmartin
357,dozen
358,drained
359,dreamy
360,dressed
361,driverless
362,drought
363,drsarwatzaib
364,drsmxw
365,drvox
366,duda
367,due
368,durrellb
369,dvi
370,dxirntdsrd
371,dy
372,dye
373,dywwnbbyvj
374,dyxtmrydu
375,dzafic
376,eaaqumkkc
377,earthquake
378,easlgea
379,east
380,easy
381,eb
382,ebay
383,ebola
384,edm
385,edmonton
386,edmund
387,edt
388,edvinnn
389,edward
390,efcbiczm
391,egypt
392,electrocute
393,elephantintheroom
394,elevated
395,elielcruz
396,emilee
397,emmychappy
398,enbot
399,engaged
400,enjoying
401,entertainment
402,equate
403,er
404,estimated
405,eudrylantiqua
406,evaaasr
407,evacuate
408,evacuated
409,evacuation
410,evanston
411,every
412,excepting
413,exitlxgisj
414,experience
415,experiment
416,expert
417,explode
418,explodes
419,explosion
420,exporting
421,extend
422,externally
423,extraordinaire
424,exum
425,eydapaupvg
426,eyq
427,eyzu
428,faceåê
429,facility
430,fail
431,failure
432,fame
433,fan
434,fandom
435,faster
436,fat
437,fatal
438,fcb
439,fed
440,fedporn
441,feeding
442,feel
443,fegu
444,fetch
445,fewmoretweets
446,fide
447,field
448,finally
449,fire
450,firefightr
451,fitness
452,fitzgerald
453,fiya
454,flash
455,flatliners
456,flattened
457,flickershowell
458,flood
459,flooded
460,flooding
461,flying
462,fmc
463,focus
464,foodborne
465,foodscare
466,forbesasia
467,forecast
468,forest
469,forget
470,forgotten
471,found
472,foxnew
473,foxnews
474,foxnewsinsider
475,fpjlwoxklg
476,fraction
477,fragrance
478,frat
479,freemurphy
480,freestyle
481,frustrated
482,fubqbgg
483,fucktard
484,fukushima
485,full
486,fully
487,fun
488,funeral
489,fwtobi
490,fwy
491,fyi
492,gaheujruju
493,gainesville
494,gal
495,galactic
496,game
497,gamer
498,gamergate
499,garcia
500,gauteng
501,gaynor
502,gbvdnczjou
503,gel
504,gemma
505,geneva
506,georgecole
507,georgefoster
508,georgia
509,georgina
510,get
511,gfb
512,gfp
513,ghk
514,ghodpw
515,ghostwriting
516,giglwdmhy
517,gilderoy
518,gimp
519,global
520,globe
521,gloucester
522,god
523,godof
524,goldrush
525,golem
526,good
527,gop
528,gopsicp
529,gotriangle
